source_id,source_name,target_id,target_name
3TVXtAsR1Inumwj472S9r4,Drake,0c173mlxpT3dSFRgMO8XPh,Big Sean
3TVXtAsR1Inumwj472S9r4,Drake,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
3TVXtAsR1Inumwj472S9r4,Drake,3KV3p5EY4AvKxOlhGHORLg,Jeremih
3TVXtAsR1Inumwj472S9r4,Drake,67nwj3Y5sZQLl72VNUHEYE,Wale
3TVXtAsR1Inumwj472S9r4,Drake,1sBkRIssrMs1AbVkOJbc7a,Rick Ross
3TVXtAsR1Inumwj472S9r4,Drake,17lzZA2AlOHwCwFALHttmp,2 Chainz
3TVXtAsR1Inumwj472S9r4,Drake,20sxb77xiYeusSH8cVdatc,Meek Mill
3TVXtAsR1Inumwj472S9r4,Drake,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
3TVXtAsR1Inumwj472S9r4,Drake,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
3TVXtAsR1Inumwj472S9r4,Drake,6vXTefBL93Dj5IqAWq6OTv,French Montana
3TVXtAsR1Inumwj472S9r4,Drake,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
3TVXtAsR1Inumwj472S9r4,Drake,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
3TVXtAsR1Inumwj472S9r4,Drake,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign
3TVXtAsR1Inumwj472S9r4,Drake,360IAlyVv4PCEVjgyMZrxK,Miguel
3TVXtAsR1Inumwj472S9r4,Drake,1RyvyyTE3xzB2ZywiAwp0i,Future
3TVXtAsR1Inumwj472S9r4,Drake,4IVAbR2w4JJNJDDRFP3E83,6LACK
3TVXtAsR1Inumwj472S9r4,Drake,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q
3TVXtAsR1Inumwj472S9r4,Drake,55Aa2cqylxrFIXC767Z865,Lil Wayne
3TVXtAsR1Inumwj472S9r4,Drake,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
3TVXtAsR1Inumwj472S9r4,Drake,7rkW85dBwwrJtlHRDkJDAC,NAV
0c173mlxpT3dSFRgMO8XPh,Big Sean,67nwj3Y5sZQLl72VNUHEYE,Wale
0c173mlxpT3dSFRgMO8XPh,Big Sean,17lzZA2AlOHwCwFALHttmp,2 Chainz
0c173mlxpT3dSFRgMO8XPh,Big Sean,1sBkRIssrMs1AbVkOJbc7a,Rick Ross
0c173mlxpT3dSFRgMO8XPh,Big Sean,5OrB6Jhhrl9y2PK0pSV4VP,Young Money
0c173mlxpT3dSFRgMO8XPh,Big Sean,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q
0c173mlxpT3dSFRgMO8XPh,Big Sean,6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame
0c173mlxpT3dSFRgMO8XPh,Big Sean,20sxb77xiYeusSH8cVdatc,Meek Mill
0c173mlxpT3dSFRgMO8XPh,Big Sean,6l3HvQ5sa6mXTsMTB19rO5,J. Cole
0c173mlxpT3dSFRgMO8XPh,Big Sean,28ExwzUQsvgJooOI0X1mr3,Jay Rock
0c173mlxpT3dSFRgMO8XPh,Big Sean,3KV3p5EY4AvKxOlhGHORLg,Jeremih
0c173mlxpT3dSFRgMO8XPh,Big Sean,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign
0c173mlxpT3dSFRgMO8XPh,Big Sean,5gCRApTajqwbnHHPbr2Fpi,Juicy J
0c173mlxpT3dSFRgMO8XPh,Big Sean,0ONHkAv9pCAFxb0zJwDNTy,Pusha T
0c173mlxpT3dSFRgMO8XPh,Big Sean,6vXTefBL93Dj5IqAWq6OTv,French Montana
0c173mlxpT3dSFRgMO8XPh,Big Sean,0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It
0c173mlxpT3dSFRgMO8XPh,Big Sean,27w1NoOLMX7tJMYqcetPyG,Vic Mensa
0c173mlxpT3dSFRgMO8XPh,Big Sean,0A0FS04o6zMoto8OKPsDwY,YG
0c173mlxpT3dSFRgMO8XPh,Big Sean,31HjiqargV4NAw4GZqUale,Ace Hood
0c173mlxpT3dSFRgMO8XPh,Big Sean,5oNgAs7j5XcBMzWv3HAnHG,DJ Drama
0c173mlxpT3dSFRgMO8XPh,Big Sean,6KZDXtSj0SzGOV705nNeh3,Kid Ink
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,0c173mlxpT3dSFRgMO8XPh,Big Sean
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,67nwj3Y5sZQLl72VNUHEYE,Wale
