source_id,source_name,target_id,target_name
3mIj9lX2MWuHmhNCA7LSCW,The 1975,2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna
3mIj9lX2MWuHmhNCA7LSCW,The 1975,3IunaFjvNKj98JW89JYv9u,The Japanese House
3mIj9lX2MWuHmhNCA7LSCW,The 1975,0NIPkIjTV8mB795yEIiPYL,Wallows
3mIj9lX2MWuHmhNCA7LSCW,The 1975,0wOej91SVqB1zcYkW6xUtA,Pale Waves
3mIj9lX2MWuHmhNCA7LSCW,The 1975,0YhUSm86okLWldQVwJkLlP,Bad Suns
3mIj9lX2MWuHmhNCA7LSCW,The 1975,6fC2AcsQtd9h4BWELbbire,Peach Pit
3mIj9lX2MWuHmhNCA7LSCW,The 1975,0ZxZlO7oWCSYMXhehpyMvE,COIN
3mIj9lX2MWuHmhNCA7LSCW,The 1975,3HXLY1sNXIxHfulrjPiRf5,joan
3mIj9lX2MWuHmhNCA7LSCW,The 1975,6d4jrmreCmsenscuieJERc,The Band CAMINO
3mIj9lX2MWuHmhNCA7LSCW,The 1975,0szWPxzzE8DVEfXFRCLBUb,flor
3mIj9lX2MWuHmhNCA7LSCW,The 1975,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray
3mIj9lX2MWuHmhNCA7LSCW,The 1975,1btWGBz4Uu1HozTwb2Lm8A,Hippo Campus
3mIj9lX2MWuHmhNCA7LSCW,The 1975,3WGpXCj9YhhfX11TToZcXP,Troye Sivan
3mIj9lX2MWuHmhNCA7LSCW,The 1975,6Sa4YbwEdGlfVSJMF1Lp67,Roy Blair
3mIj9lX2MWuHmhNCA7LSCW,The 1975,5rebfYbZVIhbRVcRKWVOAh,HUNNY
3mIj9lX2MWuHmhNCA7LSCW,The 1975,7jZycSvTyx0W9poD4PjEIG,The Hunna
3mIj9lX2MWuHmhNCA7LSCW,The 1975,2eam0iDomRHGBypaDQLwWI,Bleachers
3mIj9lX2MWuHmhNCA7LSCW,The 1975,6beUvFUlKliUYJdLOXNj9C,King Princess
3mIj9lX2MWuHmhNCA7LSCW,The 1975,4fgXfJCQnK6c44u4KzAtQP,Sundara Karma
3mIj9lX2MWuHmhNCA7LSCW,The 1975,22RISwgVJyZu9lpqAcv1F5,Blossoms
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,2BL3PP6aTKJ1jqbRgfQa71,The Honeysticks
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,5rebfYbZVIhbRVcRKWVOAh,HUNNY
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,7sOR7gk6XUlGnxj3p9F54k,half•alive
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,0NIPkIjTV8mB795yEIiPYL,Wallows
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,0ZUvK7zGdXLd78mQr3t1Tw,Ricky Montgomery
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,6Sa4YbwEdGlfVSJMF1Lp67,Roy Blair
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,35l9BRT7MXmM8bv2WDQiyB,beabadoobee
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,6fC2AcsQtd9h4BWELbbire,Peach Pit
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,45FqwUG4hTT6d39r2HUsUe,Sea Girls
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,5CXdWANGwYYRPClH6hhC0P,Kid Bloom
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,7DruTvBV7owt1aSAZHsU58,Viola Beach
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,4hfrzKkUsrb3Cz209SKxbo,Ten Tonnes
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,2G8UkPZnQ8i78L8TfqP1X6,Christian Leave
2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna,3uwAm6vQy7kWPS2bciKWx9,girl in red
