id,name,followers,popularity,url,image
15iVAtD3s3FsQR4w1v6M0P,Chief Keef,1940778,76,https://open.spotify.com/artist/15iVAtD3s3FsQR4w1v6M0P,https://i.scdn.co/image/d34c02a8afd67b8120cbdf6eefdac99e0179eec0
41I5xI04kixwmonDBl0Sda,King Combs,41169,62,https://open.spotify.com/artist/41I5xI04kixwmonDBl0Sda,https://i.scdn.co/image/483a322c73a8798133181f2a0c57e545889d2b76
21WS9wngs9AqFckK7yYJPM,PnB Rock,2340335,83,https://open.spotify.com/artist/21WS9wngs9AqFckK7yYJPM,https://i.scdn.co/image/a525eed860cd4ee699ec2525953071d68bff95a0
2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,449915,70,https://open.spotify.com/artist/2hPgGN4uhvXAxiXQBIXOmE,https://i.scdn.co/image/e7df5661e0e360ebbeb065a9b4fde3db73823729
3QTDHixorJelOLxoxcjqGx,SiR,264912,73,https://open.spotify.com/artist/3QTDHixorJelOLxoxcjqGx,https://i.scdn.co/image/ebb405d155a76d5a29704eb4c29235ffdcaf0e20
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,3099818,86,https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo,https://i.scdn.co/image/666097bb14996636cf7e106ca712a36fb39f8774
3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,1122723,73,https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu,https://i.scdn.co/image/df0ce0e119e1d5006ea986e27414256d85c08c50
4OBJLual30L7gRl5UkeRcT,T.I.,3165582,81,https://open.spotify.com/artist/4OBJLual30L7gRl5UkeRcT,https://i.scdn.co/image/eae4a88e33baad4b4ce4605aa074c45766e94d09
1LrWZc2qPhRCHyr6XtpBxq,Dizzy Wright,352835,62,https://open.spotify.com/artist/1LrWZc2qPhRCHyr6XtpBxq,https://i.scdn.co/image/cad8540b1cfc26bab5df04dae66c51ffd12f9cd8
7r8RF1tN2A4CiGEplkp1oP,Ginuwine,1476412,70,https://open.spotify.com/artist/7r8RF1tN2A4CiGEplkp1oP,https://i.scdn.co/image/c8bc9979554744c06b3c62b7e94b82cd9303ec81
5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,772085,63,https://open.spotify.com/artist/5oNgAs7j5XcBMzWv3HAnHG,https://i.scdn.co/image/2ed932c6c526ea15d4ae6145a8026b7cc9a03993
3UjPnt2nRmw10N58bBeNOg,Xavier Omär,198339,64,https://open.spotify.com/artist/3UjPnt2nRmw10N58bBeNOg,https://i.scdn.co/image/574a2d7d9ffa80f40813a516de3ab40a983761ac
7aA592KWirLsnfb5ulGWvU,Danny Brown,501244,67,https://open.spotify.com/artist/7aA592KWirLsnfb5ulGWvU,https://i.scdn.co/image/5a9b9840b9fd0b75d862a0b0a3c0af787901d4ab
2r8r62VGJKGi463aH1HJUZ,Kirko Bangz,511893,59,https://open.spotify.com/artist/2r8r62VGJKGi463aH1HJUZ,https://i.scdn.co/image/21794bbbc03b43f52592b9b447aa7385c01c7189
4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,728321,72,https://open.spotify.com/artist/4ULO7IGI3M2bo0Ap7B9h8a,https://i.scdn.co/image/22feeafd7d9975cb1348f7b4d8101a7a467c5392
4cmA2QDPdzh8W2ytpyUGes,Young Scooter,329711,63,https://open.spotify.com/artist/4cmA2QDPdzh8W2ytpyUGes,https://i.scdn.co/image/ded354e4546bcf986a35dc43995c5ce628873709
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,499698,79,https://open.spotify.com/artist/3tlXnStJ1fFhdScmQeLpuG,https://i.scdn.co/image/67b65b1eb5ab165eb7f816fc100e116dc122448e
5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan,2079046,74,https://open.spotify.com/artist/5lHRUCqkQZCIWeX7xG4sYT,https://i.scdn.co/image/0ba2528909a62b165800aba7a94e244ec449afaa
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,3926447,83,https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs,https://i.scdn.co/image/17cb13828da84ff2e33f86b6984dab07b7ae66b6
4p07QU02SrLsaORo25h2Lg,Sammie,301797,67,https://open.spotify.com/artist/4p07QU02SrLsaORo25h2Lg,https://i.scdn.co/image/8e1cd2d8102a163936d2aff78d762c2f23e36bcb
31HjiqargV4NAw4GZqUale,Ace Hood,1158013,67,https://open.spotify.com/artist/31HjiqargV4NAw4GZqUale,https://i.scdn.co/image/60fdda23080bc7a93413168ddca785e52fde508d
7r2oyrNc0YjSC7hZL87V0Y,Ro James,170202,58,https://open.spotify.com/artist/7r2oyrNc0YjSC7hZL87V0Y,https://i.scdn.co/image/41b8cd4c65f1892a96815eb73c7812f3ce9a4fbe
3Y7RZ31TRPVadSFVy1o8os,H.E.R.,2198725,83,https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os,https://i.scdn.co/image/db35f97fba5e334b8a1a10285e8bc462c8b89f12
5bgfj5zUoWpyeVatGDjn6H,K CAMP,1069406,76,https://open.spotify.com/artist/5bgfj5zUoWpyeVatGDjn6H,https://i.scdn.co/image/d7812a7e011a10c1595bb60a2724aec4e90bcd7b
0Y4inQK6OespitzD6ijMwb,Freddie Gibbs,424975,70,https://open.spotify.com/artist/0Y4inQK6OespitzD6ijMwb,https://i.scdn.co/image/86a21cdcce1761187cd8ec19916d8222389971c3
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,651431,72,https://open.spotify.com/artist/6d47Z08T4snK50HgTEHo5Z,https://i.scdn.co/image/b6759df8b05efa25245af87f9e49b261f8a07923
6AUl0ykLLpvTktob97x9hO,Tee Grizzley,1725572,77,https://open.spotify.com/artist/6AUl0ykLLpvTktob97x9hO,https://i.scdn.co/image/8387f928440def7d6047a213f216a80e2a1d4151
6KZDXtSj0SzGOV705nNeh3,Kid Ink,2365422,77,https://open.spotify.com/artist/6KZDXtSj0SzGOV705nNeh3,https://i.scdn.co/image/92a89311631851defbc80ebcdff44ba3e78922cc
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,3522463,82,https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu,https://i.scdn.co/image/e69bd60976fd81d1368adc34423c691d86f92e0d
45AMD9qU0ERQY5RvR7deHR,Che Ecru,51436,52,https://open.spotify.com/artist/45AMD9qU0ERQY5RvR7deHR,https://i.scdn.co/image/02fa7560037186eedac37baca9aef5d0fa2ddf40
0ONHkAv9pCAFxb0zJwDNTy,Pusha T,1572995,76,https://open.spotify.com/artist/0ONHkAv9pCAFxb0zJwDNTy,https://i.scdn.co/image/9af694963c6fea22c1f1ec23771b9c39fd13c281
0P8YNJXX7QeQ8iZIUCXJgi,The Diplomats,197907,51,https://open.spotify.com/artist/0P8YNJXX7QeQ8iZIUCXJgi,https://i.scdn.co/image/b36fb3186dc4f15f65d8474360b4828efee9e037
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,1821155,91,https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ,https://i.scdn.co/image/ec9841f2d8fd9f9a21dff3b2eba8c790b255b3e3
7a9KRWdaSZktpGGnWndzbC,Black Hippy,172840,55,https://open.spotify.com/artist/7a9KRWdaSZktpGGnWndzbC,https://i.scdn.co/image/ab67616d0000b27357939d973a8579b1ddffe15a
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,5323933,87,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,https://i.scdn.co/image/7db34c8aace6feb91f38601bb75e6b3301b4657a
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,4500219,81,https://open.spotify.com/artist/0QHgL1lAIqAw0HtD7YldmP,https://i.scdn.co/image/94e2383b16d3a8f0af23b45ab9edd767b4107bbf
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,1206135,74,https://open.spotify.com/artist/3HiuzBlSW7pGDXlSFMhO2g,https://i.scdn.co/image/fa18ee3aeeefb11b07c8d9169dc474d2cf7be34f
