id,name,followers,popularity,url,image
1btWGBz4Uu1HozTwb2Lm8A,Hippo Campus,333740,71,https://open.spotify.com/artist/1btWGBz4Uu1HozTwb2Lm8A,https://i.scdn.co/image/8566896482ed0a0e3c0bd4503ca3ae0c1950f019
0wnYgCeP013HkKoOyC5V32,Allie X,349032,66,https://open.spotify.com/artist/0wnYgCeP013HkKoOyC5V32,https://i.scdn.co/image/07816624ea448d4e5c85d4ef77f506d9c3361c0b
4JNfz6aO9ZFz0gp5GY88am,Hey Violet,575673,66,https://open.spotify.com/artist/4JNfz6aO9ZFz0gp5GY88am,https://i.scdn.co/image/319ee0a18275f5e6d46bf7993178a1bebb4a45ff
3btzEQD6sugImIHPMRgkwV,Wolf Alice,316022,63,https://open.spotify.com/artist/3btzEQD6sugImIHPMRgkwV,https://i.scdn.co/image/af531125938c7d8cd4625e19e6d73c6bef4b4810
45FqwUG4hTT6d39r2HUsUe,Sea Girls,38543,61,https://open.spotify.com/artist/45FqwUG4hTT6d39r2HUsUe,https://i.scdn.co/image/c5115a9bff8b8d24bb16dcb4d0233aa8332a4b79
4fgXfJCQnK6c44u4KzAtQP,Sundara Karma,145000,60,https://open.spotify.com/artist/4fgXfJCQnK6c44u4KzAtQP,https://i.scdn.co/image/b56b044a0a13e02ab66f0145d032108668d2e5f6
1Ss8sy3C3XXQgxYRwjDln8,Ralph,30090,50,https://open.spotify.com/artist/1Ss8sy3C3XXQgxYRwjDln8,https://i.scdn.co/image/6833c3762e83a7b178391b93f60e8177a6e685c2
163tK9Wjr9P9DmM0AVK7lm,Lorde,5426400,81,https://open.spotify.com/artist/163tK9Wjr9P9DmM0AVK7lm,https://i.scdn.co/image/d25fc756cd04c8b3ea196b7c07c6d057685cc405
0m5FakHKCQdA7UN0PIzMcL,Current Joys,137637,66,https://open.spotify.com/artist/0m5FakHKCQdA7UN0PIzMcL,https://i.scdn.co/image/254a08bd7a23f0b272f5f74de50a5077d81a4e48
0vnJ2wR879kbb5MuzblVOb,Clean Cut Kid,22838,43,https://open.spotify.com/artist/0vnJ2wR879kbb5MuzblVOb,https://i.scdn.co/image/1816c258260435e414eececed6774b4325c95d6e
4Xxkt0tSJr1uNxGDZcJLRc,VANT,39694,45,https://open.spotify.com/artist/4Xxkt0tSJr1uNxGDZcJLRc,https://i.scdn.co/image/1d31bdffa942fd8fcc6f9824b5a13125754fe56d
0hSgRl2U8kSaJLE2Di325f,Bad Sounds,24907,49,https://open.spotify.com/artist/0hSgRl2U8kSaJLE2Di325f,https://i.scdn.co/image/ab434dec03c2ff92752893558b1fbc1317db8d7c
2sSGPbdZJkaSE2AbcGOACx,The Marías,233163,66,https://open.spotify.com/artist/2sSGPbdZJkaSE2AbcGOACx,https://i.scdn.co/image/37b536abf0cde78190b112e2cf220687a8d69012
0NIPkIjTV8mB795yEIiPYL,Wallows,584557,75,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,https://i.scdn.co/image/a6052ca68873eeccf6cb4555e7627f345fa8d0a8
3mPc8WGusz2XF3Tvs3AKCR,Carlie Hanson,142500,62,https://open.spotify.com/artist/3mPc8WGusz2XF3Tvs3AKCR,https://i.scdn.co/image/b2b231698477b420e9e9af89e8604e6cb70573de
3uwAm6vQy7kWPS2bciKWx9,girl in red,660922,75,https://open.spotify.com/artist/3uwAm6vQy7kWPS2bciKWx9,https://i.scdn.co/image/ef264f663439ca62743543ea2414dbf1240c98f6
7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney,23917,57,https://open.spotify.com/artist/7vtSUU3zpHeYJfX6BPNrJd,https://i.scdn.co/image/43e042e9fb848308c7b6fadf3945b1e6a246a638
2XddLUPFBmTonCFy8uB3uc,Swim Deep,77342,45,https://open.spotify.com/artist/2XddLUPFBmTonCFy8uB3uc,https://i.scdn.co/image/6d332c9a112a0cedba71c73292c149341d8fc098
2eam0iDomRHGBypaDQLwWI,Bleachers,356400,67,https://open.spotify.com/artist/2eam0iDomRHGBypaDQLwWI,https://i.scdn.co/image/e901011f4857ee79cf158afc58fc05e33edf3ad7
027TpXKGwdXP7iwbjUSpV8,The Walters,125523,63,https://open.spotify.com/artist/027TpXKGwdXP7iwbjUSpV8,https://i.scdn.co/image/5c2277d5688262fa600f1b2b23dbf9bc5504160a
6P5NO5hzJbuOqSdyPB7SJM,Ashe,99632,71,https://open.spotify.com/artist/6P5NO5hzJbuOqSdyPB7SJM,https://i.scdn.co/image/0496f8474b4d4de26832d951875182d8fc517295
